date,total_views,unique_views
2022-08-29,23,2
2022-08-30,18,3
2022-08-31,14,2
2022-09-01,2,1
2022-09-02,5,2
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,8,2
2022-09-08,47,3
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,2,1
2022-09-12,20,5
2022-09-13,4,2
2022-09-14,21,2
2022-09-15,4,2
2022-09-16,6,2
2022-09-17,0,0
2022-09-18,1,1
2022-09-19,15,3
2022-09-20,18,3
2022-09-21,66,6
2022-09-22,31,6
2022-09-23,20,4
2022-09-24,0,0
2022-09-25,2,1
2022-09-26,22,4
2022-09-27,7,1
2022-09-28,3,1
2022-09-29,0,0
2022-09-30,17,3
2022-10-01,16,2
2022-10-02,9,2
2022-10-03,50,10
2022-10-04,1,1
2022-10-05,7,3
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,2,1
2022-10-11,3,1
2022-10-12,2,1
2022-10-13,16,4
2022-10-14,10,2
2022-10-15,7,2
2022-10-16,0,0
2022-10-17,16,3
2022-10-18,3,1
2022-10-19,11,4
2022-10-20,3,2
2022-10-21,8,2
2022-10-22,1,1
2022-10-23,1,1
2022-10-24,1,1
2022-10-25,1,1
2022-10-26,25,6
2022-10-27,3,1
2022-10-28,8,1
2022-10-29,2,1
2022-10-30,13,2
2022-10-31,12,6
2022-11-01,18,5
2022-11-02,23,5
2022-11-03,16,7
2022-11-04,18,5
2022-11-05,10,2
2022-11-06,19,5
2022-11-07,78,11
2022-11-08,2,1
2022-11-09,5,2
2022-11-10,7,2
2022-11-11,2,1
2022-11-12,0,0
2022-11-13,2,1
2022-11-14,2,1
2022-11-15,11,1
2022-11-16,17,3
2022-11-17,8,2
2022-11-18,12,4
2022-11-19,4,1
2022-11-20,5,2
2022-11-21,15,4
2022-11-22,10,3
2022-11-23,13,3
2022-11-24,4,1
2022-11-25,10,2
2022-11-26,0,0
2022-11-27,12,5
2022-11-28,48,13
2022-11-29,0,0
